"group_name","line_count","total_qty","total_sales"
"Accessories","0","241","855500"
"Arty","0","1","26520"
"Baby Care","0","80","977500"
"Bags & Wallets","0","28","1172500"
"Bath & Body","0","261","3684400"
"BSC","0","5","160480"
"Canmake","0","9","327200"
"Catrice","0","16","967500"
"C'Care","0","63","946572"
"Coolors","0","61","250380"
"Coreana","0","11","440850"
"Dabo","0","393","11114520"
"Eushido","0","9","171200"
"Farm Stay","0","2","71000"
"Fat-loss products","0","12","192000"
"Follow Me","0","4","120715"
"For The Skin","0","8","306280"
"Garnier","0","42","1096000"
"Hair Care","0","251","4627300"
"Holika","0","5","196160"
"Jejudo","0","9","166500"
"JM Solution","0","7","272300"
"Kanebo","0","10","604000"
"KMA","0","1","34000"
"Kracie","0","5","101700"
"LIFE","0","1","15000"
"Loreal","0","8","288000"
"Makeup","0","934","12539000"
"Masuri","0","1","29000"
"Maybelline","0","1","86100"
"Meishoku","0","9","284490"
"Nivea","0","10","105000"
"Perfume","0","34","3647250"
"Revlon","0","5","218800"
"Skin Care","0","327","11179200"
"Wet n Wild","0","21","202700"