"sale_date","group_name","line_count","total_qty","total_sales"
"16/03/2026 2:46 PM","Accessories","746","1388","12827200"
"16/03/2026 2:46 PM","Arty","22","26","2459650"
"16/03/2026 2:46 PM","Baby Care","608","1200","19644800"
"16/03/2026 2:46 PM","Bags & Wallets","875","1028","52259000"
"16/03/2026 2:46 PM","Bath & Body","3810","7747","123151300"
"16/03/2026 2:46 PM","Beauty Buffet","6","32","673600"
"16/03/2026 2:46 PM","BSC","15","18","970511"
"16/03/2026 2:46 PM","Canmake","105","113","4904400"
"16/03/2026 2:46 PM","Catrice","113","131","5880600"
"16/03/2026 2:46 PM","C'Care","9","246","6183950"
"16/03/2026 2:46 PM","Coolors","208","320","11394500"
"16/03/2026 2:46 PM","Coreana","96","113","4663700"
"16/03/2026 2:46 PM","Dabo","357","1872","36896730"
"16/03/2026 2:46 PM","Electronic Products","8","8","537000"
"16/03/2026 2:46 PM","Eushido","134","601","11762950"
"16/03/2026 2:46 PM","Farm Stay","230","504","12197900"
"16/03/2026 2:46 PM","Fat-loss products","14","19","915000"
"16/03/2026 2:46 PM","Follow Me","17","51","2182650"
"16/03/2026 2:46 PM","For The Skin","179","421","7257670"
"16/03/2026 2:46 PM","Garnier","116","363","3404100"
"16/03/2026 2:46 PM","Hair Care","1960","3957","97622300"
"16/03/2026 2:46 PM","Holika","130","183","8564600"
"16/03/2026 2:46 PM","Jejudo","85","111","3007400"
"16/03/2026 2:46 PM","JM Solution","74","153","2260400"
"16/03/2026 2:46 PM","Kanebo","92","103","16918000"
"16/03/2026 2:46 PM","Kiss Me","50","52","2560600"
"16/03/2026 2:46 PM","KMA","26","613","20966580"
"16/03/2026 2:46 PM","Kose","32","35","4492520"
"16/03/2026 2:46 PM","Kracie","4","5","176850"
"16/03/2026 2:46 PM","LIFE","49","131","4036000"
"16/03/2026 2:46 PM","Loreal","126","714","25675000"
"16/03/2026 2:46 PM","Makeup","3081","6836","162487600"
"16/03/2026 2:46 PM","Masuri","343","2734","61755500"
"16/03/2026 2:46 PM","Maybelline","85","248","11572000"
"16/03/2026 2:46 PM","Meishoku","55","64","2714670"
"16/03/2026 2:46 PM","Nivea","339","773","10752800"
"16/03/2026 2:46 PM","Pastel","96","99","2782400"
"16/03/2026 2:46 PM","Paul Mitchell","63","76","8064550"
"16/03/2026 2:46 PM","Perfume","356","472","38065500"
"16/03/2026 2:46 PM","Revlon","53","60","3498700"
"16/03/2026 2:46 PM","Sets Package","10","10","1998000"
"16/03/2026 2:46 PM","Skin Care","2779","4715","191957300"
"16/03/2026 2:46 PM","Wet n Wild","95","169","3688065"